title,overview
56 Times More,"A subjective journey into the 1956 Hungarian revolution observed through archive footage and records, a dive into the heart of the 1950s of communist Europe: productivism, lies, treason, amnesia, an era which should be remembered by now."
Alien,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
Aliens,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Anna Freud: Under Analysis,"A life chronicle of the youngest child of Sigmund and Martha Freud - her childhood in Vienna, her analysis by her own father, her prominence in the creation and development of child psychoanalysis, and the love of her life (Dorothy Burlingame)."
Assassination Classroom: The Graduation,"The story of the assassination classroom and their teacher target continues with the students' own conflicts, Korosensei's identity, and the fate of the world as the deadline for assassination approaches."
Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
Blade Runner 2049,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years."
Farming 101,"'Farming 101', is a documentary about the last two dairy farms in Eliot and Kittery, Maine; both farms on an eight-mile stretch of Route 101. Supporting the story are interviews with the farmers and their families, as well as discussions with the milk truck driver, veterinarian, and the artificial inseminator. Mention of former farms, with historical photographs and interviews, and other farm related businesses along the road compliment the story. The difficulties of dairy farming in Maine raise the issue of what will happen to the farms, and their hundreds of acres, when the farmers can no longer work their property. One farmer has agreed to a conservation easement on his land, but what will be the fate of the other land along Route 101?"
Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
Forrest Gump,"The presidencies of Kennedy and Johnson through the eyes of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
Hands That Bind,A hired hand plans to eventually take over his boss farm are shattered when the landowners son returns to claim his birthright.
Harry Potter and the Philosopher's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Humble Servants,A young German girl jumps off a Wroclaw church tower. She is a member of a Women's Gregorian Choir.
Inception,A skilled thief is given a chance at redemption by entering the subconscious of a target through dream invasion technology.
Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
La Hortua,"What was once the largest hospital in Colombia is crumbling as its inhabitants, contemplated in their daily routine, are transformed into ghostly beings who wander in solitude through the silence and the dusty memories preserved inside."
Les explorateurs de la mort,-Documentary with testimonies about near-death experiences.
Love Is News,"A financier's daughter spars with a newspaper reporter, he by writing about her and she by announcing their engagement."
Mengejar Setan,"Andika and Tarina decide to live in Bandung after an accident that almost killed them. Andika has bought an old, quite big house because it is for a bargain price. The owner is the ghost who is still roaming and terrorizing."
Oyate,"OYATE is an observational nonfiction feature film about life on the Pine Ridge Indian Reservation in southwestern South Dakota. The film follows two families on Pine Ridge as they go about their daily activities over the course of a single summer. They attend rodeos, shoot clay pigeons, and participate in pow wows. Family members get married, have children, and celebrate the 4th of July. All the while, the difficult, often intractable realities of modern reservation life threaten to encroach upon them."
Pagan Love Song,"A man from Ohio inherits a coconut plantation and falls in love with a half-American, half-Tahitian beauty. Song-and-swim musical ensues in the tropical paradise."
